team,rank,country,elo,league,week
Man United,2,ENG,1957.61633301,ENG-Premier League,2010-8-7
Chelsea,3,ENG,1950.53125,ENG-Premier League,2010-8-7
Arsenal,7,ENG,1869.07739258,ENG-Premier League,2010-8-7
Liverpool,8,ENG,1849.16809082,ENG-Premier League,2010-8-7
Tottenham,14,ENG,1787.02893066,ENG-Premier League,2010-8-7
Man City,19,ENG,1782.39746094,ENG-Premier League,2010-8-7
Everton,20,ENG,1780.93115234,ENG-Premier League,2010-8-7
Aston Villa,23,ENG,1763.50170898,ENG-Premier League,2010-8-7
Fulham,35,ENG,1723.45556641,ENG-Premier League,2010-8-7
Blackburn,37,ENG,1698.73852539,ENG-Premier League,2010-8-7
Newcastle,40,ENG,1690.31530762,ENG-Premier League,2010-8-7
Stoke,52,ENG,1666.12438965,ENG-Premier League,2010-8-7
Sunderland,63,ENG,1645.02880859,ENG-Premier League,2010-8-7
Birmingham,65,ENG,1644.80273438,ENG-Premier League,2010-8-7
West Ham,68,ENG,1641.16674805,ENG-Premier League,2010-8-7
West Brom,71,ENG,1631.75268555,ENG-Premier League,2010-8-7
Bolton,74,ENG,1625.13024902,ENG-Premier League,2010-8-7
Wolves,86,ENG,1606.3828125,ENG-Premier League,2010-8-7
Wigan,88,ENG,1598.59960938,ENG-Premier League,2010-8-7
Blackpool,95,ENG,1551.8807373,ENG-Premier League,2010-8-7
Man United,2,ENG,1957.61633301,ENG-Premier League,2010-8-14
Chelsea,3,ENG,1950.53125,ENG-Premier League,2010-8-14
Arsenal,7,ENG,1869.07739258,ENG-Premier League,2010-8-14
Liverpool,8,ENG,1849.16809082,ENG-Premier League,2010-8-14
Tottenham,14,ENG,1787.02893066,ENG-Premier League,2010-8-14
Man City,18,ENG,1782.39746094,ENG-Premier League,2010-8-14
Everton,20,ENG,1780.93115234,ENG-Premier League,2010-8-14
Aston Villa,23,ENG,1763.50170898,ENG-Premier League,2010-8-14
Fulham,35,ENG,1723.45556641,ENG-Premier League,2010-8-14
Blackburn,37,ENG,1698.73852539,ENG-Premier League,2010-8-14
Newcastle,40,ENG,1690.31530762,ENG-Premier League,2010-8-14
Stoke,52,ENG,1666.12438965,ENG-Premier League,2010-8-14
Sunderland,65,ENG,1645.02880859,ENG-Premier League,2010-8-14
Birmingham,66,ENG,1644.80273438,ENG-Premier League,2010-8-14
West Ham,68,ENG,1641.16674805,ENG-Premier League,2010-8-14
West Brom,72,ENG,1631.75268555,ENG-Premier League,2010-8-14
Bolton,74,ENG,1625.13024902,ENG-Premier League,2010-8-14
Wolves,85,ENG,1606.3828125,ENG-Premier League,2010-8-14
Wigan,89,ENG,1598.59960938,ENG-Premier League,2010-8-14
Blackpool,95,ENG,1551.8807373,ENG-Premier League,2010-8-14
Man United,2,ENG,1959.79724121,ENG-Premier League,2010-8-21
Chelsea,3,ENG,1952.73217773,ENG-Premier League,2010-8-21
Arsenal,7,ENG,1870.35241699,ENG-Premier League,2010-8-21
Liverpool,8,ENG,1847.9263916,ENG-Premier League,2010-8-21
Man City,16,ENG,1785.63513184,ENG-Premier League,2010-8-21
Tottenham,18,ENG,1779.42785645,ENG-Premier League,2010-8-21
Everton,21,ENG,1772.28393555,ENG-Premier League,2010-8-21
Aston Villa,22,ENG,1769.05541992,ENG-Premier League,2010-8-21
Fulham,35,ENG,1722.54418945,ENG-Premier League,2010-8-21
Blackburn,36,ENG,1706.24609375,ENG-Premier League,2010-8-21
Newcastle,42,ENG,1686.99475098,ENG-Premier League,2010-8-21
Stoke,56,ENG,1657.99023438,ENG-Premier League,2010-8-21
Birmingham,64,ENG,1646.67724609,ENG-Premier League,2010-8-21
Sunderland,67,ENG,1642.01464844,ENG-Premier League,2010-8-21
West Ham,70,ENG,1634.70825195,ENG-Premier League,2010-8-21
West Brom,73,ENG,1628.41210938,ENG-Premier League,2010-8-21
Bolton,74,ENG,1624.90209961,ENG-Premier League,2010-8-21
Wolves,85,ENG,1613.37731934,ENG-Premier League,2010-8-21
Wigan,90,ENG,1575.72253418,ENG-Premier League,2010-8-21
Blackpool,92,ENG,1573.61816406,ENG-Premier League,2010-8-21
Chelsea,2,ENG,1955.88330078,ENG-Premier League,2010-8-28
Man United,3,ENG,1953.80810547,ENG-Premier League,2010-8-28
Arsenal,7,ENG,1871.57202148,ENG-Premier League,2010-8-28
Liverpool,8,ENG,1835.50073242,ENG-Premier League,2010-8-28
Man City,13,ENG,1797.97045898,ENG-Premier League,2010-8-28
Tottenham,15,ENG,1794.45019531,ENG-Premier League,2010-8-28
Everton,22,ENG,1764.33374023,ENG-Premier League,2010-8-28
Aston Villa,34,ENG,1727.57519531,ENG-Premier League,2010-8-28
Fulham,35,ENG,1724.72473145,ENG-Premier League,2010-8-28
Newcastle,37,ENG,1704.86096191,ENG-Premier League,2010-8-28
Blackburn,40,ENG,1696.74084473,ENG-Premier League,2010-8-28
Birmingham,60,ENG,1652.37402344,ENG-Premier League,2010-8-28
