team,rank,country,elo,league,week
Barcelona,1,ESP,2018.15246582,ESP-La Liga,2010-8-7
Real Madrid,4,ESP,1942.41625977,ESP-La Liga,2010-8-7
Valencia,13,ESP,1801.37084961,ESP-La Liga,2010-8-7
Sevilla,17,ESP,1784.72595215,ESP-La Liga,2010-8-7
Mallorca,22,ESP,1768.98034668,ESP-La Liga,2010-8-7
Getafe,28,ESP,1748.03259277,ESP-La Liga,2010-8-7
Atletico,30,ESP,1745.72180176,ESP-La Liga,2010-8-7
Villarreal,33,ESP,1739.45349121,ESP-La Liga,2010-8-7
Bilbao,41,ESP,1689.03369141,ESP-La Liga,2010-8-7
Zaragoza,42,ESP,1687.72912598,ESP-La Liga,2010-8-7
Espanyol,45,ESP,1682.19055176,ESP-La Liga,2010-8-7
Osasuna,47,ESP,1673.1550293,ESP-La Liga,2010-8-7
Malaga,49,ESP,1671.4342041,ESP-La Liga,2010-8-7
Almeria,53,ESP,1663.56896973,ESP-La Liga,2010-8-7
Santander,54,ESP,1658.9017334,ESP-La Liga,2010-8-7
Depor,55,ESP,1656.02148438,ESP-La Liga,2010-8-7
Hercules,66,ESP,1643.96569824,ESP-La Liga,2010-8-7
Levante,76,ESP,1621.06530762,ESP-La Liga,2010-8-7
Sociedad,77,ESP,1620.8079834,ESP-La Liga,2010-8-7
Gijon,81,ESP,1616.0949707,ESP-La Liga,2010-8-7
Barcelona,1,ESP,2018.15246582,ESP-La Liga,2010-8-14
Real Madrid,4,ESP,1942.41625977,ESP-La Liga,2010-8-14
Valencia,12,ESP,1801.37084961,ESP-La Liga,2010-8-14
Sevilla,17,ESP,1784.72595215,ESP-La Liga,2010-8-14
Mallorca,22,ESP,1768.98034668,ESP-La Liga,2010-8-14
Getafe,27,ESP,1748.03259277,ESP-La Liga,2010-8-14
Atletico,29,ESP,1745.72180176,ESP-La Liga,2010-8-14
Villarreal,33,ESP,1739.45349121,ESP-La Liga,2010-8-14
Bilbao,41,ESP,1689.03369141,ESP-La Liga,2010-8-14
Zaragoza,43,ESP,1687.72912598,ESP-La Liga,2010-8-14
Espanyol,46,ESP,1682.19055176,ESP-La Liga,2010-8-14
Osasuna,47,ESP,1673.1550293,ESP-La Liga,2010-8-14
Malaga,49,ESP,1671.4342041,ESP-La Liga,2010-8-14
Almeria,53,ESP,1663.56896973,ESP-La Liga,2010-8-14
Santander,54,ESP,1658.9017334,ESP-La Liga,2010-8-14
Depor,55,ESP,1656.02148438,ESP-La Liga,2010-8-14
Hercules,67,ESP,1643.96569824,ESP-La Liga,2010-8-14
Levante,75,ESP,1621.06530762,ESP-La Liga,2010-8-14
Sociedad,76,ESP,1620.8079834,ESP-La Liga,2010-8-14
Gijon,81,ESP,1616.0949707,ESP-La Liga,2010-8-14
Barcelona,1,ESP,2017.06689453,ESP-La Liga,2010-8-21
Real Madrid,4,ESP,1941.33081055,ESP-La Liga,2010-8-21
Valencia,12,ESP,1800.28540039,ESP-La Liga,2010-8-21
Sevilla,19,ESP,1777.6229248,ESP-La Liga,2010-8-21
Mallorca,23,ESP,1767.89489746,ESP-La Liga,2010-8-21
Getafe,27,ESP,1748.84387207,ESP-La Liga,2010-8-21
Atletico,29,ESP,1744.63635254,ESP-La Liga,2010-8-21
Villarreal,31,ESP,1739.0826416,ESP-La Liga,2010-8-21
Bilbao,41,ESP,1687.94824219,ESP-La Liga,2010-8-21
Zaragoza,43,ESP,1686.64367676,ESP-La Liga,2010-8-21
Espanyol,45,ESP,1681.10510254,ESP-La Liga,2010-8-21
Osasuna,48,ESP,1672.06958008,ESP-La Liga,2010-8-21
Malaga,50,ESP,1670.34875488,ESP-La Liga,2010-8-21
Almeria,52,ESP,1662.48352051,ESP-La Liga,2010-8-21
Santander,57,ESP,1657.81628418,ESP-La Liga,2010-8-21
Depor,59,ESP,1654.93603516,ESP-La Liga,2010-8-21
Hercules,66,ESP,1642.88024902,ESP-La Liga,2010-8-21
Levante,78,ESP,1619.9798584,ESP-La Liga,2010-8-21
Sociedad,79,ESP,1619.72253418,ESP-La Liga,2010-8-21
Gijon,82,ESP,1615.00939941,ESP-La Liga,2010-8-21
Barcelona,1,ESP,2013.72302246,ESP-La Liga,2010-8-28
Real Madrid,4,ESP,1937.98681641,ESP-La Liga,2010-8-28
Valencia,14,ESP,1796.94140625,ESP-La Liga,2010-8-28
Mallorca,21,ESP,1764.55090332,ESP-La Liga,2010-8-28
Sevilla,23,ESP,1761.59887695,ESP-La Liga,2010-8-28
Getafe,28,ESP,1747.51794434,ESP-La Liga,2010-8-28
Atletico,31,ESP,1741.2923584,ESP-La Liga,2010-8-28
Villarreal,32,ESP,1735.83203125,ESP-La Liga,2010-8-28
Bilbao,44,ESP,1684.60424805,ESP-La Liga,2010-8-28
Zaragoza,45,ESP,1683.29968262,ESP-La Liga,2010-8-28
Espanyol,46,ESP,1677.7611084,ESP-La Liga,2010-8-28
Osasuna,52,ESP,1668.72558594,ESP-La Liga,2010-8-28
Malaga,54,ESP,1667.00476074,ESP-La Liga,2010-8-28
Almeria,56,ESP,1659.13952637,ESP-La Liga,2010-8-28
Santander,59,ESP,1654.47229004,ESP-La Liga,2010-8-28
Depor,62,ESP,1651.59204102,ESP-La Liga,2010-8-28
Hercules,67,ESP,1639.53625488,ESP-La Liga,2010-8-28
Levante,82,ESP,1616.63586426,ESP-La Liga,2010-8-28
Sociedad,83,ESP,1616.37854004,ESP-La Liga,2010-8-28
Gijon,87,ESP,1611.66552734,ESP-La Liga,2010-8-28
Barcelona,1,ESP,2017.66113281,ESP-La Liga,2010-9-4
Real Madrid,4,ESP,1935.41796875,ESP-La Liga,2010-9-4
Valencia,11,ESP,1806.64331055,ESP-La Liga,2010-9-4
Sevilla,18,ESP,1772.62084961,ESP-La Liga,2010-9-4
Mallorca,19,ESP,1767.11975098,ESP-La Liga,2010-9-4
Atletico,25,ESP,1747.88952637,ESP-La Liga,2010-9-4
Getafe,31,ESP,1736.3170166,ESP-La Liga,2010-9-4
Villarreal,34,ESP,1726.76513672,ESP-La Liga,2010-9-4
Bilbao,42,ESP,1693.60791016,ESP-La Liga,2010-9-4
Espanyol,46,ESP,1688.96203613,ESP-La Liga,2010-9-4
Zaragoza,47,ESP,1684.74121094,ESP-La Liga,2010-9-4
Osasuna,52,ESP,1666.1451416,ESP-La Liga,2010-9-4
Almeria,54,ESP,1661.7199707,ESP-La Liga,2010-9-4
Malaga,57,ESP,1657.30285645,ESP-La Liga,2010-9-4
Santander,60,ESP,1650.53405762,ESP-La Liga,2010-9-4
Depor,61,ESP,1650.1505127,ESP-La Liga,2010-9-4
Hercules,74,ESP,1630.53259277,ESP-La Liga,2010-9-4
Sociedad,77,ESP,1625.44543457,ESP-La Liga,2010-9-4
Levante,85,ESP,1605.6138916,ESP-La Liga,2010-9-4
Gijon,86,ESP,1605.06835938,ESP-La Liga,2010-9-4
Barcelona,1,ESP,2017.66113281,ESP-La Liga,2010-9-11
Real Madrid,4,ESP,1935.41796875,ESP-La Liga,2010-9-11
Valencia,11,ESP,1806.64331055,ESP-La Liga,2010-9-11
Sevilla,18,ESP,1772.62084961,ESP-La Liga,2010-9-11
Mallorca,19,ESP,1767.11975098,ESP-La Liga,2010-9-11
Atletico,25,ESP,1747.88952637,ESP-La Liga,2010-9-11
Getafe,31,ESP,1736.3170166,ESP-La Liga,2010-9-11
Villarreal,34,ESP,1726.76513672,ESP-La Liga,2010-9-11
Bilbao,42,ESP,1693.60791016,ESP-La Liga,2010-9-11
Espanyol,46,ESP,1688.96203613,ESP-La Liga,2010-9-11
Zaragoza,47,ESP,1684.74121094,ESP-La Liga,2010-9-11
Osasuna,52,ESP,1666.1451416,ESP-La Liga,2010-9-11
Almeria,54,ESP,1661.7199707,ESP-La Liga,2010-9-11
Malaga,57,ESP,1657.30285645,ESP-La Liga,2010-9-11
Santander,60,ESP,1650.53405762,ESP-La Liga,2010-9-11
Depor,61,ESP,1650.1505127,ESP-La Liga,2010-9-11
Hercules,74,ESP,1630.53259277,ESP-La Liga,2010-9-11
Sociedad,77,ESP,1625.44543457,ESP-La Liga,2010-9-11
Levante,85,ESP,1605.6138916,ESP-La Liga,2010-9-11
Gijon,86,ESP,1605.06835938,ESP-La Liga,2010-9-11
Barcelona,1,ESP,1989.60351562,ESP-La Liga,2010-9-18
Real Madrid,4,ESP,1933.7635498,ESP-La Liga,2010-9-18
Valencia,10,ESP,1814.74133301,ESP-La Liga,2010-9-18
Sevilla,24,ESP,1747.52294922,ESP-La Liga,2010-9-18
Mallorca,25,ESP,1746.04101562,ESP-La Liga,2010-9-18
Getafe,26,ESP,1737.54675293,ESP-La Liga,2010-9-18
Atletico,27,ESP,1737.52233887,ESP-La Liga,2010-9-18
Villarreal,35,ESP,1713.83337402,ESP-La Liga,2010-9-18
Bilbao,45,ESP,1678.17456055,ESP-La Liga,2010-9-18
Espanyol,48,ESP,1671.76293945,ESP-La Liga,2010-9-18
Malaga,50,ESP,1665.6171875,ESP-La Liga,2010-9-18
Zaragoza,51,ESP,1662.90222168,ESP-La Liga,2010-9-18
Osasuna,57,ESP,1657.80029297,ESP-La Liga,2010-9-18
Almeria,59,ESP,1651.66027832,ESP-La Liga,2010-9-18
Depor,64,ESP,1648.64111328,ESP-La Liga,2010-9-18
Hercules,65,ESP,1647.48669434,ESP-La Liga,2010-9-18
Santander,71,ESP,1640.84387207,ESP-La Liga,2010-9-18
Sociedad,78,ESP,1621.98034668,ESP-La Liga,2010-9-18
Gijon,85,ESP,1612.62243652,ESP-La Liga,2010-9-18
Levante,90,ESP,1593.12451172,ESP-La Liga,2010-9-18
Barcelona,1,ESP,1994.25927734,ESP-La Liga,2010-9-25
Real Madrid,4,ESP,1939.6192627,ESP-La Liga,2010-9-25
Valencia,9,ESP,1816.02709961,ESP-La Liga,2010-9-25
Sevilla,23,ESP,1750.59741211,ESP-La Liga,2010-9-25
Mallorca,27,ESP,1738.2800293,ESP-La Liga,2010-9-25
Atletico,28,ESP,1738.19396973,ESP-La Liga,2010-9-25
Villarreal,31,ESP,1725.23291016,ESP-La Liga,2010-9-25
Getafe,33,ESP,1720.50695801,ESP-La Liga,2010-9-25
Bilbao,41,ESP,1692.31054688,ESP-La Liga,2010-9-25
Espanyol,44,ESP,1674.54333496,ESP-La Liga,2010-9-25
Malaga,45,ESP,1674.43823242,ESP-La Liga,2010-9-25
Osasuna,52,ESP,1659.65002441,ESP-La Liga,2010-9-25
Santander,58,ESP,1655.02685547,ESP-La Liga,2010-9-25
Zaragoza,64,ESP,1650.97265625,ESP-La Liga,2010-9-25
Hercules,68,ESP,1644.33178711,ESP-La Liga,2010-9-25
Depor,69,ESP,1644.30456543,ESP-La Liga,2010-9-25
Almeria,74,ESP,1634.67126465,ESP-La Liga,2010-9-25
