team,rank,country,elo,league,week
Lyon,10,FRA,1821.31091309,FRA-Ligue 1,2010-8-7
Marseille,12,FRA,1814.24658203,FRA-Ligue 1,2010-8-7
Lille,18,FRA,1782.83776855,FRA-Ligue 1,2010-8-7
Bordeaux,24,FRA,1752.52648926,FRA-Ligue 1,2010-8-7
Auxerre,31,FRA,1745.1607666,FRA-Ligue 1,2010-8-7
Rennes,43,FRA,1684.81604004,FRA-Ligue 1,2010-8-7
Lorient,44,FRA,1683.95251465,FRA-Ligue 1,2010-8-7
Montpellier,46,FRA,1678.0958252,FRA-Ligue 1,2010-8-7
Valenciennes,58,FRA,1650.22387695,FRA-Ligue 1,2010-8-7
Monaco,61,FRA,1647.45019531,FRA-Ligue 1,2010-8-7
Toulouse,64,FRA,1644.97106934,FRA-Ligue 1,2010-8-7
Paris SG,67,FRA,1643.84143066,FRA-Ligue 1,2010-8-7
Lens,73,FRA,1626.79138184,FRA-Ligue 1,2010-8-7
Nancy,75,FRA,1622.32727051,FRA-Ligue 1,2010-8-7
Nice,78,FRA,1619.30041504,FRA-Ligue 1,2010-8-7
Saint-Etienne,85,FRA,1609.33947754,FRA-Ligue 1,2010-8-7
Caen,89,FRA,1584.63098145,FRA-Ligue 1,2010-8-7
Sochaux,94,FRA,1566.92175293,FRA-Ligue 1,2010-8-7
Brest,97,FRA,1523.9810791,FRA-Ligue 1,2010-8-7
Arles-Avignon,98,FRA,1480.13378906,FRA-Ligue 1,2010-8-7
Lyon,11,FRA,1815.06091309,FRA-Ligue 1,2010-8-14
Marseille,13,FRA,1799.3503418,FRA-Ligue 1,2010-8-14
Lille,19,FRA,1782.34436035,FRA-Ligue 1,2010-8-14
Bordeaux,30,FRA,1744.42602539,FRA-Ligue 1,2010-8-14
Auxerre,31,FRA,1741.28515625,FRA-Ligue 1,2010-8-14
Lorient,42,FRA,1687.828125,FRA-Ligue 1,2010-8-14
Montpellier,44,FRA,1686.19628906,FRA-Ligue 1,2010-8-14
Rennes,45,FRA,1685.30944824,FRA-Ligue 1,2010-8-14
Monaco,57,FRA,1653.70019531,FRA-Ligue 1,2010-8-14
Valenciennes,58,FRA,1651.65148926,FRA-Ligue 1,2010-8-14
Paris SG,59,FRA,1651.38623047,FRA-Ligue 1,2010-8-14
Toulouse,61,FRA,1650.07727051,FRA-Ligue 1,2010-8-14
Nancy,71,FRA,1632.57666016,FRA-Ligue 1,2010-8-14
Nice,79,FRA,1617.87280273,FRA-Ligue 1,2010-8-14
Lens,80,FRA,1616.54187012,FRA-Ligue 1,2010-8-14
Saint-Etienne,87,FRA,1601.79467773,FRA-Ligue 1,2010-8-14
Caen,88,FRA,1599.52722168,FRA-Ligue 1,2010-8-14
Sochaux,92,FRA,1571.18481445,FRA-Ligue 1,2010-8-14
Brest,97,FRA,1518.87487793,FRA-Ligue 1,2010-8-14
Arles-Avignon,98,FRA,1475.87072754,FRA-Ligue 1,2010-8-14
Lyon,11,FRA,1802.62036133,FRA-Ligue 1,2010-8-21
Marseille,14,FRA,1788.67980957,FRA-Ligue 1,2010-8-21
Lille,20,FRA,1774.37133789,FRA-Ligue 1,2010-8-21
Auxerre,32,FRA,1731.03942871,FRA-Ligue 1,2010-8-21
Bordeaux,33,FRA,1730.84899902,FRA-Ligue 1,2010-8-21
Rennes,38,FRA,1699.70214844,FRA-Ligue 1,2010-8-21
Montpellier,44,FRA,1686.58959961,FRA-Ligue 1,2010-8-21
Lorient,46,FRA,1675.24121094,FRA-Ligue 1,2010-8-21
Toulouse,53,FRA,1661.8347168,FRA-Ligue 1,2010-8-21
Paris SG,54,FRA,1660.52526855,FRA-Ligue 1,2010-8-21
Valenciennes,55,FRA,1660.50244141,FRA-Ligue 1,2010-8-21
Monaco,61,FRA,1651.48730469,FRA-Ligue 1,2010-8-21
Nice,72,FRA,1628.64001465,FRA-Ligue 1,2010-8-21
Lens,76,FRA,1622.2355957,FRA-Ligue 1,2010-8-21
Nancy,81,FRA,1616.36437988,FRA-Ligue 1,2010-8-21
Caen,86,FRA,1610.14831543,FRA-Ligue 1,2010-8-21
Saint-Etienne,88,FRA,1606.3762207,FRA-Ligue 1,2010-8-21
Sochaux,95,FRA,1564.78356934,FRA-Ligue 1,2010-8-21
Brest,97,FRA,1521.83691406,FRA-Ligue 1,2010-8-21
Arles-Avignon,98,FRA,1468.35742188,FRA-Ligue 1,2010-8-21
Lyon,11,FRA,1811.5736084,FRA-Ligue 1,2010-8-28
Marseille,12,FRA,1801.23571777,FRA-Ligue 1,2010-8-28
Lille,17,FRA,1781.83422852,FRA-Ligue 1,2010-8-28
Auxerre,25,FRA,1752.0213623,FRA-Ligue 1,2010-8-28
Bordeaux,29,FRA,1746.54663086,FRA-Ligue 1,2010-8-28
Rennes,38,FRA,1702.56420898,FRA-Ligue 1,2010-8-28
Montpellier,43,FRA,1689.85144043,FRA-Ligue 1,2010-8-28
Lorient,47,FRA,1677.4855957,FRA-Ligue 1,2010-8-28
Valenciennes,49,FRA,1671.90466309,FRA-Ligue 1,2010-8-28
Toulouse,50,FRA,1671.81030273,FRA-Ligue 1,2010-8-28
Monaco,55,FRA,1660.24572754,FRA-Ligue 1,2010-8-28
Paris SG,57,FRA,1658.76184082,FRA-Ligue 1,2010-8-28
Nice,71,FRA,1633.53271484,FRA-Ligue 1,2010-8-28
Lens,74,FRA,1628.27734375,FRA-Ligue 1,2010-8-28
Nancy,75,FRA,1626.27185059,FRA-Ligue 1,2010-8-28
Caen,78,FRA,1621.68664551,FRA-Ligue 1,2010-8-28
Saint-Etienne,79,FRA,1618.31445312,FRA-Ligue 1,2010-8-28
Sochaux,92,FRA,1575.8371582,FRA-Ligue 1,2010-8-28
Brest,97,FRA,1527.68383789,FRA-Ligue 1,2010-8-28
Arles-Avignon,98,FRA,1473.18212891,FRA-Ligue 1,2010-8-28
Marseille,12,FRA,1801.80627441,FRA-Ligue 1,2010-9-4
Lyon,13,FRA,1798.01977539,FRA-Ligue 1,2010-9-4
Lille,17,FRA,1776.17590332,FRA-Ligue 1,2010-9-4
Bordeaux,27,FRA,1745.97607422,FRA-Ligue 1,2010-9-4
Auxerre,30,FRA,1739.63171387,FRA-Ligue 1,2010-9-4
Rennes,36,FRA,1706.96191406,FRA-Ligue 1,2010-9-4
Montpellier,39,FRA,1699.6427002,FRA-Ligue 1,2010-9-4
Lorient,44,FRA,1691.03942871,FRA-Ligue 1,2010-9-4
Toulouse,48,FRA,1684.48583984,FRA-Ligue 1,2010-9-4
Monaco,51,FRA,1672.63537598,FRA-Ligue 1,2010-9-4
Valenciennes,53,FRA,1662.11352539,FRA-Ligue 1,2010-9-4
Paris SG,64,FRA,1646.94494629,FRA-Ligue 1,2010-9-4
Nice,69,FRA,1639.19104004,FRA-Ligue 1,2010-9-4
Saint-Etienne,75,FRA,1627.5802002,FRA-Ligue 1,2010-9-4
Lens,79,FRA,1619.01159668,FRA-Ligue 1,2010-9-4
Nancy,84,FRA,1613.59631348,FRA-Ligue 1,2010-9-4
Caen,88,FRA,1604.0369873,FRA-Ligue 1,2010-9-4
Sochaux,90,FRA,1587.65405273,FRA-Ligue 1,2010-9-4
Brest,96,FRA,1545.33349609,FRA-Ligue 1,2010-9-4
Arles-Avignon,98,FRA,1468.7845459,FRA-Ligue 1,2010-9-4
Marseille,12,FRA,1801.80627441,FRA-Ligue 1,2010-9-11
Lyon,13,FRA,1798.01977539,FRA-Ligue 1,2010-9-11
Lille,17,FRA,1776.17590332,FRA-Ligue 1,2010-9-11
Bordeaux,27,FRA,1745.97607422,FRA-Ligue 1,2010-9-11
Auxerre,30,FRA,1739.63171387,FRA-Ligue 1,2010-9-11
Rennes,37,FRA,1706.96191406,FRA-Ligue 1,2010-9-11
Montpellier,40,FRA,1699.6427002,FRA-Ligue 1,2010-9-11
Lorient,44,FRA,1691.03942871,FRA-Ligue 1,2010-9-11
Toulouse,48,FRA,1684.48583984,FRA-Ligue 1,2010-9-11
Monaco,51,FRA,1672.63537598,FRA-Ligue 1,2010-9-11
Valenciennes,53,FRA,1662.11352539,FRA-Ligue 1,2010-9-11
Paris SG,64,FRA,1646.94494629,FRA-Ligue 1,2010-9-11
Nice,69,FRA,1639.19104004,FRA-Ligue 1,2010-9-11
Saint-Etienne,75,FRA,1627.5802002,FRA-Ligue 1,2010-9-11
Lens,79,FRA,1619.01159668,FRA-Ligue 1,2010-9-11
Nancy,84,FRA,1613.59631348,FRA-Ligue 1,2010-9-11
Caen,88,FRA,1604.0369873,FRA-Ligue 1,2010-9-11
Sochaux,90,FRA,1587.65405273,FRA-Ligue 1,2010-9-11
Brest,96,FRA,1545.33349609,FRA-Ligue 1,2010-9-11
Arles-Avignon,98,FRA,1468.7845459,FRA-Ligue 1,2010-9-11
Lyon,12,FRA,1791.99731445,FRA-Ligue 1,2010-9-18
Marseille,15,FRA,1776.72705078,FRA-Ligue 1,2010-9-18
Lille,18,FRA,1768.18676758,FRA-Ligue 1,2010-9-18
Bordeaux,29,FRA,1731.24499512,FRA-Ligue 1,2010-9-18
Auxerre,33,FRA,1721.06665039,FRA-Ligue 1,2010-9-18
Rennes,37,FRA,1704.92785645,FRA-Ligue 1,2010-9-18
Lorient,42,FRA,1683.25134277,FRA-Ligue 1,2010-9-18
Montpellier,43,FRA,1681.83557129,FRA-Ligue 1,2010-9-18
Monaco,47,FRA,1672.1505127,FRA-Ligue 1,2010-9-18
Toulouse,49,FRA,1667.24743652,FRA-Ligue 1,2010-9-18
Valenciennes,52,FRA,1661.82226562,FRA-Ligue 1,2010-9-18
Paris SG,55,FRA,1659.7565918,FRA-Ligue 1,2010-9-18
Nice,68,FRA,1642.47314453,FRA-Ligue 1,2010-9-18
Saint-Etienne,75,FRA,1633.36962891,FRA-Ligue 1,2010-9-18
Nancy,79,FRA,1619.95422363,FRA-Ligue 1,2010-9-18
Caen,87,FRA,1603.73950195,FRA-Ligue 1,2010-9-18
Lens,88,FRA,1602.94641113,FRA-Ligue 1,2010-9-18
Sochaux,92,FRA,1578.23901367,FRA-Ligue 1,2010-9-18
Brest,97,FRA,1541.67248535,FRA-Ligue 1,2010-9-18
Arles-Avignon,98,FRA,1457.60644531,FRA-Ligue 1,2010-9-18
Marseille,14,FRA,1781.49975586,FRA-Ligue 1,2010-9-25
Lyon,15,FRA,1780.93078613,FRA-Ligue 1,2010-9-25
Lille,16,FRA,1773.3828125,FRA-Ligue 1,2010-9-25
Bordeaux,26,FRA,1742.31152344,FRA-Ligue 1,2010-9-25
Auxerre,35,FRA,1715.87060547,FRA-Ligue 1,2010-9-25
Rennes,37,FRA,1705.75415039,FRA-Ligue 1,2010-9-25
Lorient,46,FRA,1671.51135254,FRA-Ligue 1,2010-9-25
Monaco,47,FRA,1669.89904785,FRA-Ligue 1,2010-9-25
Toulouse,48,FRA,1669.49890137,FRA-Ligue 1,2010-9-25
Montpellier,49,FRA,1668.71044922,FRA-Ligue 1,2010-9-25
Paris SG,54,FRA,1658.93029785,FRA-Ligue 1,2010-9-25
Valenciennes,56,FRA,1658.15686035,FRA-Ligue 1,2010-9-25
Saint-Etienne,65,FRA,1646.49475098,FRA-Ligue 1,2010-9-25
Nice,76,FRA,1626.46948242,FRA-Ligue 1,2010-9-25
Caen,81,FRA,1615.47949219,FRA-Ligue 1,2010-9-25
Lens,86,FRA,1606.61181641,FRA-Ligue 1,2010-9-25
Nancy,87,FRA,1603.38500977,FRA-Ligue 1,2010-9-25
Sochaux,90,FRA,1594.24267578,FRA-Ligue 1,2010-9-25
Brest,96,FRA,1558.24169922,FRA-Ligue 1,2010-9-25
Arles-Avignon,98,FRA,1452.83374023,FRA-Ligue 1,2010-9-25
Marseille,15,FRA,1780.4576416,FRA-Ligue 1,2010-10-2
Lyon,17,FRA,1775.76000977,FRA-Ligue 1,2010-10-2
Lille,19,FRA,1769.08337402,FRA-Ligue 1,2010-10-2
Bordeaux,25,FRA,1740.92773438,FRA-Ligue 1,2010-10-2
Rennes,35,FRA,1713.91711426,FRA-Ligue 1,2010-10-2
Auxerre,39,FRA,1706.22583008,FRA-Ligue 1,2010-10-2
Lorient,45,FRA,1677.77111816,FRA-Ligue 1,2010-10-2
Paris SG,48,FRA,1675.17712402,FRA-Ligue 1,2010-10-2
Montpellier,49,FRA,1671.94226074,FRA-Ligue 1,2010-10-2
Toulouse,51,FRA,1670.32128906,FRA-Ligue 1,2010-10-2
Monaco,53,FRA,1663.70214844,FRA-Ligue 1,2010-10-2
Saint-Etienne,56,FRA,1659.86303711,FRA-Ligue 1,2010-10-2
Valenciennes,66,FRA,1649.36560059,FRA-Ligue 1,2010-10-2
Nice,78,FRA,1618.36950684,FRA-Ligue 1,2010-10-2
Caen,80,FRA,1616.92626953,FRA-Ligue 1,2010-10-2
Nancy,83,FRA,1608.39416504,FRA-Ligue 1,2010-10-2
Lens,90,FRA,1594.2611084,FRA-Ligue 1,2010-10-2
Sochaux,91,FRA,1591.73132324,FRA-Ligue 1,2010-10-2
Brest,96,FRA,1567.09594727,FRA-Ligue 1,2010-10-2
Arles-Avignon,98,FRA,1449.66491699,FRA-Ligue 1,2010-10-2
Lyon,15,FRA,1781.46081543,FRA-Ligue 1,2010-10-9
Marseille,16,FRA,1779.1348877,FRA-Ligue 1,2010-10-9
Lille,17,FRA,1774.91638184,FRA-Ligue 1,2010-10-9
Bordeaux,24,FRA,1745.82739258,FRA-Ligue 1,2010-10-9
Rennes,34,FRA,1721.49804688,FRA-Ligue 1,2010-10-9
Auxerre,37,FRA,1714.04296875,FRA-Ligue 1,2010-10-9
Lorient,46,FRA,1672.87145996,FRA-Ligue 1,2010-10-9
Paris SG,47,FRA,1671.57751465,FRA-Ligue 1,2010-10-9
Montpellier,51,FRA,1666.109375,FRA-Ligue 1,2010-10-9
Toulouse,54,FRA,1662.74035645,FRA-Ligue 1,2010-10-9
Saint-Etienne,56,FRA,1661.18579102,FRA-Ligue 1,2010-10-9
Valenciennes,59,FRA,1654.95532227,FRA-Ligue 1,2010-10-9
Monaco,62,FRA,1651.08300781,FRA-Ligue 1,2010-10-9
Nice,79,FRA,1621.96911621,FRA-Ligue 1,2010-10-9
Caen,81,FRA,1611.33654785,FRA-Ligue 1,2010-10-9
Sochaux,87,FRA,1602.77319336,FRA-Ligue 1,2010-10-9
Nancy,88,FRA,1602.69335938,FRA-Ligue 1,2010-10-9
Lens,95,FRA,1583.21936035,FRA-Ligue 1,2010-10-9
Brest,96,FRA,1579.71508789,FRA-Ligue 1,2010-10-9
Arles-Avignon,98,FRA,1441.84777832,FRA-Ligue 1,2010-10-9
Lyon,15,FRA,1781.46081543,FRA-Ligue 1,2010-10-16
Marseille,16,FRA,1779.1348877,FRA-Ligue 1,2010-10-16
Lille,17,FRA,1774.91638184,FRA-Ligue 1,2010-10-16
Bordeaux,24,FRA,1745.82739258,FRA-Ligue 1,2010-10-16
Rennes,34,FRA,1721.49804688,FRA-Ligue 1,2010-10-16
Auxerre,37,FRA,1714.04296875,FRA-Ligue 1,2010-10-16
Lorient,46,FRA,1672.87145996,FRA-Ligue 1,2010-10-16
Paris SG,47,FRA,1671.57751465,FRA-Ligue 1,2010-10-16
Montpellier,51,FRA,1666.109375,FRA-Ligue 1,2010-10-16
Toulouse,54,FRA,1662.74035645,FRA-Ligue 1,2010-10-16
Saint-Etienne,56,FRA,1661.18579102,FRA-Ligue 1,2010-10-16
Valenciennes,59,FRA,1654.95532227,FRA-Ligue 1,2010-10-16
Monaco,62,FRA,1651.08300781,FRA-Ligue 1,2010-10-16
Nice,79,FRA,1621.96911621,FRA-Ligue 1,2010-10-16
Caen,81,FRA,1611.33654785,FRA-Ligue 1,2010-10-16
Sochaux,87,FRA,1602.77319336,FRA-Ligue 1,2010-10-16
Nancy,88,FRA,1602.69335938,FRA-Ligue 1,2010-10-16
Lens,95,FRA,1583.21936035,FRA-Ligue 1,2010-10-16
Brest,96,FRA,1579.71508789,FRA-Ligue 1,2010-10-16
Arles-Avignon,98,FRA,1441.84777832,FRA-Ligue 1,2010-10-16
Lyon,12,FRA,1802.32373047,FRA-Ligue 1,2010-10-23
Marseille,15,FRA,1787.4017334,FRA-Ligue 1,2010-10-23
Lille,18,FRA,1771.64489746,FRA-Ligue 1,2010-10-23
Bordeaux,20,FRA,1759.19213867,FRA-Ligue 1,2010-10-23
Rennes,33,FRA,1723.72790527,FRA-Ligue 1,2010-10-23
Auxerre,36,FRA,1703.86401367,FRA-Ligue 1,2010-10-23
Paris SG,41,FRA,1695.25756836,FRA-Ligue 1,2010-10-23
Lorient,46,FRA,1682.81896973,FRA-Ligue 1,2010-10-23
Montpellier,48,FRA,1677.15014648,FRA-Ligue 1,2010-10-23
Saint-Etienne,55,FRA,1657.94396973,FRA-Ligue 1,2010-10-23
Monaco,56,FRA,1656.1685791,FRA-Ligue 1,2010-10-23
Valenciennes,57,FRA,1653.12097168,FRA-Ligue 1,2010-10-23
Toulouse,58,FRA,1652.55480957,FRA-Ligue 1,2010-10-23
Nice,71,FRA,1633.32397461,FRA-Ligue 1,2010-10-23
Caen,80,FRA,1614.36413574,FRA-Ligue 1,2010-10-23
Nancy,87,FRA,1604.07678223,FRA-Ligue 1,2010-10-23
Sochaux,91,FRA,1599.84545898,FRA-Ligue 1,2010-10-23
Lens,92,FRA,1589.10253906,FRA-Ligue 1,2010-10-23
Brest,94,FRA,1578.2989502,FRA-Ligue 1,2010-10-23
Arles-Avignon,98,FRA,1451.3770752,FRA-Ligue 1,2010-10-23
Marseille,12,FRA,1800.91760254,FRA-Ligue 1,2010-10-30
Lyon,15,FRA,1795.67919922,FRA-Ligue 1,2010-10-30
Lille,19,FRA,1758.12902832,FRA-Ligue 1,2010-10-30
Bordeaux,27,FRA,1739.05419922,FRA-Ligue 1,2010-10-30
Auxerre,34,FRA,1713.87036133,FRA-Ligue 1,2010-10-30
Rennes,35,FRA,1712.32714844,FRA-Ligue 1,2010-10-30
Montpellier,43,FRA,1688.55090332,FRA-Ligue 1,2010-10-30
Paris SG,44,FRA,1685.2512207,FRA-Ligue 1,2010-10-30
Lorient,50,FRA,1674.67736816,FRA-Ligue 1,2010-10-30
Valenciennes,53,FRA,1667.60424805,FRA-Ligue 1,2010-10-30
