team,rank,country,elo,league,week
Bayern,6,GER,1895.94494629,GER-Bundesliga,2010-8-7
Werder,11,GER,1818.78234863,GER-Bundesliga,2010-8-7
Stuttgart,16,GER,1785.8762207,GER-Bundesliga,2010-8-7
Schalke,21,GER,1780.86425781,GER-Bundesliga,2010-8-7
Dortmund,25,GER,1752.02587891,GER-Bundesliga,2010-8-7
Wolfsburg,26,GER,1750.16003418,GER-Bundesliga,2010-8-7
Leverkusen,27,GER,1748.48376465,GER-Bundesliga,2010-8-7
Hamburg,32,GER,1740.91699219,GER-Bundesliga,2010-8-7
Hoffenheim,51,GER,1668.71252441,GER-Bundesliga,2010-8-7
Mainz,59,GER,1650.04492188,GER-Bundesliga,2010-8-7
Frankfurt,70,GER,1637.51635742,GER-Bundesliga,2010-8-7
Koeln,79,GER,1619.17053223,GER-Bundesliga,2010-8-7
Nuernberg,80,GER,1618.22705078,GER-Bundesliga,2010-8-7
Hannover,83,GER,1612.81884766,GER-Bundesliga,2010-8-7
Gladbach,84,GER,1610.14147949,GER-Bundesliga,2010-8-7
Freiburg,87,GER,1603.06738281,GER-Bundesliga,2010-8-7
Lautern,90,GER,1576.78222656,GER-Bundesliga,2010-8-7
St Pauli,93,GER,1567.82409668,GER-Bundesliga,2010-8-7
Bayern,6,GER,1895.94494629,GER-Bundesliga,2010-8-14
Werder,10,GER,1818.78234863,GER-Bundesliga,2010-8-14
Stuttgart,16,GER,1785.8762207,GER-Bundesliga,2010-8-14
Schalke,21,GER,1780.86425781,GER-Bundesliga,2010-8-14
Dortmund,24,GER,1752.02587891,GER-Bundesliga,2010-8-14
Wolfsburg,25,GER,1750.16003418,GER-Bundesliga,2010-8-14
Leverkusen,26,GER,1748.48376465,GER-Bundesliga,2010-8-14
Hamburg,32,GER,1740.91699219,GER-Bundesliga,2010-8-14
Hoffenheim,51,GER,1668.71252441,GER-Bundesliga,2010-8-14
Mainz,62,GER,1650.04492188,GER-Bundesliga,2010-8-14
Frankfurt,70,GER,1637.51635742,GER-Bundesliga,2010-8-14
Koeln,77,GER,1619.17053223,GER-Bundesliga,2010-8-14
Nuernberg,78,GER,1618.22705078,GER-Bundesliga,2010-8-14
Hannover,83,GER,1612.81884766,GER-Bundesliga,2010-8-14
Gladbach,84,GER,1610.14147949,GER-Bundesliga,2010-8-14
Freiburg,86,GER,1603.06738281,GER-Bundesliga,2010-8-14
Lautern,90,GER,1576.78222656,GER-Bundesliga,2010-8-14
St Pauli,94,GER,1567.82409668,GER-Bundesliga,2010-8-14
Bayern,6,GER,1902.75366211,GER-Bundesliga,2010-8-21
Werder,9,GER,1829.0970459,GER-Bundesliga,2010-8-21
Stuttgart,13,GER,1789.9375,GER-Bundesliga,2010-8-21
Schalke,17,GER,1784.47595215,GER-Bundesliga,2010-8-21
Dortmund,24,GER,1756.17004395,GER-Bundesliga,2010-8-21
Leverkusen,25,GER,1755.28198242,GER-Bundesliga,2010-8-21
Wolfsburg,26,GER,1750.57470703,GER-Bundesliga,2010-8-21
Hamburg,30,GER,1744.52868652,GER-Bundesliga,2010-8-21
Hoffenheim,47,GER,1672.32421875,GER-Bundesliga,2010-8-21
Mainz,60,GER,1653.65661621,GER-Bundesliga,2010-8-21
Frankfurt,68,GER,1641.12805176,GER-Bundesliga,2010-8-21
Koeln,75,GER,1622.78222656,GER-Bundesliga,2010-8-21
Nuernberg,77,GER,1621.83886719,GER-Bundesliga,2010-8-21
Hannover,80,GER,1616.43054199,GER-Bundesliga,2010-8-21
Gladbach,84,GER,1613.75317383,GER-Bundesliga,2010-8-21
Freiburg,87,GER,1606.67907715,GER-Bundesliga,2010-8-21
Lautern,89,GER,1580.3939209,GER-Bundesliga,2010-8-21
St Pauli,93,GER,1571.43579102,GER-Bundesliga,2010-8-21
Bayern,6,GER,1883.7890625,GER-Bundesliga,2010-8-28
Werder,10,GER,1812.72021484,GER-Bundesliga,2010-8-28
Schalke,18,GER,1777.64160156,GER-Bundesliga,2010-8-28
Stuttgart,19,GER,1776.890625,GER-Bundesliga,2010-8-28
Leverkusen,20,GER,1770.73852539,GER-Bundesliga,2010-8-28
Hamburg,24,GER,1752.59448242,GER-Bundesliga,2010-8-28
Wolfsburg,26,GER,1751.19030762,GER-Bundesliga,2010-8-28
Dortmund,30,GER,1742.98266602,GER-Bundesliga,2010-8-28
Hoffenheim,42,GER,1690.44555664,GER-Bundesliga,2010-8-28
Mainz,53,GER,1668.25634766,GER-Bundesliga,2010-8-28
Frankfurt,69,GER,1634.99255371,GER-Bundesliga,2010-8-28
Nuernberg,76,GER,1624.15148926,GER-Bundesliga,2010-8-28
Hannover,77,GER,1623.79736328,GER-Bundesliga,2010-8-28
Lautern,84,GER,1615.93383789,GER-Bundesliga,2010-8-28
Gladbach,86,GER,1612.671875,GER-Bundesliga,2010-8-28
Koeln,88,GER,1608.05395508,GER-Bundesliga,2010-8-28
Freiburg,89,GER,1592.55871582,GER-Bundesliga,2010-8-28
St Pauli,90,GER,1586.78759766,GER-Bundesliga,2010-8-28
Bayern,6,GER,1883.7890625,GER-Bundesliga,2010-9-4
Werder,10,GER,1816.04455566,GER-Bundesliga,2010-9-4
Schalke,20,GER,1764.05395508,GER-Bundesliga,2010-9-4
Stuttgart,21,GER,1762.23071289,GER-Bundesliga,2010-9-4
Hamburg,22,GER,1762.04919434,GER-Bundesliga,2010-9-4
Dortmund,23,GER,1757.64257812,GER-Bundesliga,2010-9-4
Leverkusen,26,GER,1747.2421875,GER-Bundesliga,2010-9-4
Wolfsburg,29,GER,1739.67016602,GER-Bundesliga,2010-9-4
Hoffenheim,41,GER,1697.3918457,GER-Bundesliga,2010-9-4
Mainz,50,GER,1679.77648926,GER-Bundesliga,2010-9-4
Hannover,70,GER,1637.38500977,GER-Bundesliga,2010-9-4
Gladbach,71,GER,1636.16809082,GER-Bundesliga,2010-9-4
Frankfurt,76,GER,1625.53796387,GER-Bundesliga,2010-9-4
Lautern,82,GER,1615.93383789,GER-Bundesliga,2010-9-4
Nuernberg,83,GER,1613.60388184,GER-Bundesliga,2010-9-4
Koeln,87,GER,1604.72961426,GER-Bundesliga,2010-9-4
Freiburg,89,GER,1603.10632324,GER-Bundesliga,2010-9-4
St Pauli,92,GER,1579.84130859,GER-Bundesliga,2010-9-4
Bayern,6,GER,1883.7890625,GER-Bundesliga,2010-9-11
Werder,10,GER,1816.04455566,GER-Bundesliga,2010-9-11
Stuttgart,20,GER,1762.23071289,GER-Bundesliga,2010-9-11
Hamburg,21,GER,1762.04919434,GER-Bundesliga,2010-9-11
Dortmund,22,GER,1757.64257812,GER-Bundesliga,2010-9-11
Schalke,24,GER,1752.40246582,GER-Bundesliga,2010-9-11
