team,rank,country,elo,league,week
Inter,5,ITA,1929.50476074,ITA-Serie A,2010-8-7
Roma,9,ITA,1829.14111328,ITA-Serie A,2010-8-7
Milan,15,ITA,1786.72192383,ITA-Serie A,2010-8-7
Palermo,29,ITA,1747.6673584,ITA-Serie A,2010-8-7
Sampdoria,34,ITA,1734.95861816,ITA-Serie A,2010-8-7
Juventus,36,ITA,1699.87207031,ITA-Serie A,2010-8-7
Napoli,38,ITA,1693.89074707,ITA-Serie A,2010-8-7
Fiorentina,39,ITA,1693.10229492,ITA-Serie A,2010-8-7
Genoa,48,ITA,1671.76147461,ITA-Serie A,2010-8-7
Udinese,50,ITA,1670.11401367,ITA-Serie A,2010-8-7
Lazio,56,ITA,1655.4666748,ITA-Serie A,2010-8-7
Parma,57,ITA,1650.7322998,ITA-Serie A,2010-8-7
Catania,60,ITA,1649.16564941,ITA-Serie A,2010-8-7
Bari,62,ITA,1645.76513672,ITA-Serie A,2010-8-7
Cagliari,69,ITA,1638.48132324,ITA-Serie A,2010-8-7
Chievo,72,ITA,1631.72717285,ITA-Serie A,2010-8-7
Bologna,82,ITA,1614.49951172,ITA-Serie A,2010-8-7
Lecce,91,ITA,1574.80114746,ITA-Serie A,2010-8-7
Brescia,92,ITA,1569.10595703,ITA-Serie A,2010-8-7
Cesena,96,ITA,1534.43347168,ITA-Serie A,2010-8-7
Inter,5,ITA,1929.50476074,ITA-Serie A,2010-8-14
Roma,9,ITA,1829.14111328,ITA-Serie A,2010-8-14
Milan,15,ITA,1786.72192383,ITA-Serie A,2010-8-14
Palermo,28,ITA,1747.6673584,ITA-Serie A,2010-8-14
Sampdoria,34,ITA,1734.95861816,ITA-Serie A,2010-8-14
Juventus,36,ITA,1699.87207031,ITA-Serie A,2010-8-14
Napoli,38,ITA,1693.89074707,ITA-Serie A,2010-8-14
Fiorentina,39,ITA,1693.10229492,ITA-Serie A,2010-8-14
Genoa,48,ITA,1671.76147461,ITA-Serie A,2010-8-14
Udinese,50,ITA,1670.11401367,ITA-Serie A,2010-8-14
Lazio,56,ITA,1655.4666748,ITA-Serie A,2010-8-14
Parma,60,ITA,1650.7322998,ITA-Serie A,2010-8-14
Catania,63,ITA,1649.16564941,ITA-Serie A,2010-8-14
Bari,64,ITA,1645.76513672,ITA-Serie A,2010-8-14
Cagliari,69,ITA,1638.48132324,ITA-Serie A,2010-8-14
Chievo,73,ITA,1631.72717285,ITA-Serie A,2010-8-14
Bologna,82,ITA,1614.49951172,ITA-Serie A,2010-8-14
